ham,spam,Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
0,1,https://bKa.sh/8app,bKa.sh,1833,0,200,1
0,1,https://rrj.nu/VucpYxnb,rrj.nu,0,0,404,0
0,1,https://click.daraz.com.bd/e/_C69OCr,click.daraz.com.bd,559826,171763,200,1
0,1,https://rrj.nu/kFGj26Cd,rrj.nu,0,0,404,0
0,1,https://ebl.com.bd/Eid-Offers-2023#travel,ebl.com.bd,63664,6987,200,0
1,0,www.nmst.gov.bd,www.nmst.gov.bd,0,0,-1,0
0,1,https://bka.sh/dec1tkoffr,bka.sh,1833,0,200,1
0,1,https://cutt.ly/Vwqu8c6C,cutt.ly,114920,27254,200,0
1,0,http://joinnavy.navy.mil.bd,joinnavy.navy.mil.bd,25172,6708,200,0
1,1,https://joinbangladesharmy.army.mil.bd,joinbangladesharmy.army.mil.bd,75390,13162,200,0
0,1,www.annisagallerybd.com,www.annisagallerybd.com,0,0,-1,0
0,1,http://bit.ly/3IVA0tu,bit.ly,137740,28069,200,1
1,0,http://bdlaws.minlaw.gov.bd,bdlaws.minlaw.gov.bd,0,0,-1,0
1,0,www.banglaacademy.gov.bd,www.banglaacademy.gov.bd,0,0,-1,0
1,0,www.joinnavy.navy.mil.bd,www.joinnavy.navy.mil.bd,25172,6708,200,0
1,0,https://tinyurl.com/wsis21,tinyurl.com,13611,0,200,1
0,1,https://mygp.li/r2,mygp.li,0,0,-1,0
0,1,https://tinyurl.com/bblabd,tinyurl.com,13611,0,200,1
0,1,https://click.daraz.com.bd/e/_CY8qr9,click.daraz.com.bd,561669,172406,200,1
1,1,https://joinairforce.baf.mil.bd,joinairforce.baf.mil.bd,0,0,-1,0
0,1,https://onelink.to/bgqm6h,onelink.to,301512,2369,200,0
0,1,https://mygp.li/a0,mygp.li,436341,291495,200,0
0,1,https://gic.im/ec,gic.im,26854,5475,200,0
1,0,www.youthpowerhouse.org/shyva,www.youthpowerhouse.org,38187,1857,200,0
0,1,https://gic.im/noor/,gic.im,26854,5475,200,0
1,0,www.berc.org.bd,www.berc.org.bd,0,0,-1,0
0,1,www.themallbd.com,www.themallbd.com,0,0,200,0
0,1,https://www.chorki.com/redeem,www.chorki.com,1114680,1082533,200,1
1,0,https://bit.ly/3Inwyh6,bit.ly,137740,28069,200,1
1,0,www.telecomdept.gov.bd,www.telecomdept.gov.bd,0,0,-1,0
1,0,www.joinnavy.mil.bd,www.joinnavy.mil.bd,0,0,-1,0
0,1,https://robi.epicon.in,robi.epicon.in,0,0,500,0
0,1,www.stripe.clothing,www.stripe.clothing,0,0,-1,0
1,0,http://www.amiprobashi.com/a,www.amiprobashi.com,27486,63,200,0
0,1,https://click.daraz.com.bd/e/_CUvX0N,click.daraz.com.bd,559781,171800,200,1
1,0,https://joinbangladesharmy.mil.mil.bd,joinbangladesharmy.mil.mil.bd,0,0,-1,0
1,0,www.bida.gov.bd,www.bida.gov.bd,130764,19827,200,0
0,1,https://bka.sh/bkblnet,bka.sh,1833,0,200,1
1,0,www.bscl.gov.bd,www.bscl.gov.bd,145520,10523,200,0
1,0,https://bit.ly/3pZsYkP,bit.ly,137740,28069,200,1
1,0,https://seafoodexpobd.com,seafoodexpobd.com,114288,59767,200,0
1,0,http://cutt.ly/8CgjCP9,cutt.ly,114920,27254,200,0
1,0,www.moca.gov.bd,www.moca.gov.bd,0,0,-1,0
1,0,https:joinbangladesharmy.army.mil.bd,https.,0,0,-1,0
1,0,www.police.gov.bd,www.police.gov.bd,0,0,-1,0
0,1,https://tinyurl.com/BBLFDO,tinyurl.com,13611,0,200,1
0,1,https://tinyurl.com/BBLDCRP01,tinyurl.com,13611,0,200,1
0,1,https://bka.sh/bmy,bka.sh,1833,0,200,1
1,0,www.diabetes-covid19.org,www.diabetes-covid19.org,0,0,-1,0
1,0,https://cutt.ly/MMMjbSM,cutt.ly,114920,27254,200,0
1,0,www.pkb.gov.bd,www.pkb.gov.bd,0,0,-1,0
0,1,https://bit.ly/2YBHO5U,bit.ly,137740,28069,200,1
1,0,www.sheikhrussel.gov.bd,www.sheikhrussel.gov.bd,0,0,-1,0
0,1,https://gp.mygp.li/lt,gp.mygp.li,0,0,-1,0
