ham,smish,Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
1,0,https://mygp.li/a0,mygp.li,436341,291495,200,0
0,1,https://wa.me/8801911011123,wa.me,184989,35968,200,0
0,1,https://t.me/Perfect_Money_Wallet_Pro_bot?start=r03883431946,t.me,19558,2122,200,0
0,1,https://bjmltcyj.prescriptiondome.top/12acdFRHQ1QBeQYFaFMrInxbWQlvWCRyW0ZWbzEUBAIkCAAZVDkbGyVcLDFLVF8NGyc1cUwTTQVBXhUndyBoPDwVJFI-Kw&p=uexjms&_mi1710919302243,bjmltcyj.prescriptiondome.top,0,0,-1,0
0,1,http://bit.ly/AccountUpdate,bit.ly,137740,28069,200,1
0,1,https://t.me/pepe_miner_game_bot?start=5825648889,t.me,19558,2122,200,0
0,1,https://wa.me/8801929757090,wa.me,179716,35971,200,0
0,1,https://t.me/NagadPrizeBot,t.me,19558,2122,200,0
0,1,https://t.me/JanataErrorBot,t.me,19558,2122,200,0
0,1,https://t.me/NagadActivateBot2,t.me,19558,2122,200,0
0,1,https://wa.me/8801816677889,wa.me,179714,35969,200,0
0,1,https://wa.me/8801812345678,wa.me,179717,35972,200,0
0,1,https://cutt.ly/jeo,cutt.ly,114920,27254,200,0
0,1,https://Daraz.com/7ty,Daraz.com,38798,33046,200,0
0,1,https://t.me/JanataCashPrizeBot,t.me,19558,2122,200,0
0,1,https://cutt.ly/JiliG,cutt.ly,114920,27254,200,0
0,1,https://wa.me/8801713233245,wa.me,184992,35971,200,0
0,1,https://t.me/Referincomebd4536_bot?start=r00798685036,t.me,19558,2122,200,0
0,1,https://t.me/cashgotpaid_98_bot?start=r099778786166,t.me,19558,2122,200,0
0,1,https://t.me/NagadWinBot,t.me,19558,2122,200,0
0,1,https://t.me/JanataUpdateBot3,t.me,19558,2122,200,0
0,1,https://online-earn.beauty/371606448961,online-earn.beauty,57927,5629,200,1
0,1,https://wa.me/8801817788990,wa.me,179716,35971,200,0
0,1,https://wa.me/8801715566778,wa.me,179715,35969,200,0
0,1,https://t.me/JanataActivateBot,t.me,19558,2122,200,0
