ham,spam,Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
0,1,http://sz.hurraay.com/BsNl/bM/vd_v.jsp?p=tsd1499411135lL,sz.hurraay.com,1182,433,200,0
0,1,http://jio.com/r/FU8hDfF4,jio.com,3312763,186555,200,0
0,1,https://goo.gl/9PNVKG,goo.gl,0,0,400,0
1,0,https://goo.gl/pEsvd3,goo.gl,0,0,400,0
1,0,http://msg.mn/JJ_33p/ouo91hI,msg.mn,0,0,-1,0
1,0,http://jio.com/r/DxKRcmwE,jio.com,3312763,186555,200,0
1,0,http://amzn.in/1jYwlwQ,amzn.in,821879,407336,200,1
1,0,http://pytm.ml/scd,pytm.ml,0,0,-1,0
1,0,http://tiny.jio.com/MyJioVideo,tiny.jio.com,1764,116,200,0
1,0,http://amzn.in/hUpUrCo,amzn.in,769266,403767,200,1
0,1,http://jio.com/r/BQyeaIVI,jio.com,3312763,186555,200,0
0,1,http://bit.ly/2En4VY6,bit.ly,137740,28069,200,1
0,1,http://bit.ly/Open811,bit.ly,137740,28069,200,1
1,0,http://amzn.in/i960tpx,amzn.in,822717,411886,200,1
0,1,https://t.co/Immv5S18wf,t.co,3367,337,200,0
0,1,http://bit.ly/2u8383B,bit.ly,137740,28069,200,1
1,0,www.shop101.com/orders,www.shop101.com,89739,16390,200,0
0,1,http://jio.com/r/Wp1L4Jah,jio.com,3312763,186555,200,0
1,0,http://jio.com/r/Xm94gxFu,jio.com,3312763,186555,200,0
0,1,https://goo.gl/NXFbMU,goo.gl,0,0,400,0
0,1,http://jio.com/r/0qNNDfz1,jio.com,3312763,186555,200,0
0,1,www.gs.im/m/?t=w9vNJVVwqPB,www.gs.im,0,0,404,0
1,0,https://bmsurl.co/7qYw9LVa,bmsurl.co,0,0,-1,0
1,0,http://fkrt.it/FAM3pTuuuN,fkrt.it,811520,256338,200,1
1,0,http://fkrt.it/Gr0EGTuuuN,fkrt.it,811584,256404,200,1
0,1,https://goo.gl/TdWnef,goo.gl,0,0,400,0
0,1,https://go.fyndi.ng/bs,go.fyndi.ng,396567,366590,200,1
0,1,http://piza.io/i/a.asp?i=101860118407036777,piza.io,114,0,200,1
1,0,http://fkrt.it/ME3ggKNNNN,fkrt.it,812541,256386,200,1
